Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
670,John Thomson\thomsjo01,33,KCR,AL,1,1,.500,3.38,2,2,0,0,0,0,10.2,13,5,4,0,3,0,3,0,1,0,46,139,3.52,1.500,11.0,0.0,2.5,2.5,1.00
671,Matt Thornton*\thornma01,30,CHW,AL,4,4,.500,4.79,68,0,13,0,0,2,56.1,59,31,30,4,26,6,55,2,0,3,249,99,3.70,1.509,9.4,0.6,4.2,8.8,2.12
672,Erick Threets*\threeer01,25,SFG,NL,0,0,,19.29,3,0,1,0,0,0,2.1,5,5,5,0,3,0,1,0,0,1,15,27,6.24,3.429,19.3,0.0,11.6,3.9,0.33
673,Mike Timlin\timlimi01,41,BOS,AL,2,1,.667,3.42,50,0,19,0,0,1,55.1,46,23,21,7,14,3,31,3,0,0,222,140,4.69,1.084,7.5,1.1,2.3,5.0,2.21
674,Brett Tomko\tomkobr01,34,TOT,NL,4,12,.250,5.55,40,19,9,0,0,0,131.1,149,89,81,18,48,1,105,2,0,5,588,79,4.56,1.500,10.2,1.2,3.3,7.2,2.19
675,Brett Tomko\tomkobr01,34,LAD,NL,2,11,.154,5.80,33,15,8,0,0,0,104.0,124,75,67,13,42,1,79,2,0,3,475,77,4.62,1.596,10.7,1.1,3.6,6.8,1.88
676,Brett Tomko\tomkobr01,34,SDP,NL,2,1,.667,4.61,7,4,1,0,0,0,27.1,25,14,14,5,6,0,26,0,0,2,113,88,4.37,1.134,8.2,1.6,2.0,8.6,4.33
677,Salomon Torres\torresa01,35,PIT,NL,2,4,.333,5.47,56,0,28,0,0,12,52.2,57,34,32,7,17,0,45,4,0,3,231,80,4.46,1.405,9.7,1.2,2.9,7.7,2.65
678,Josh Towers\towerjo01,30,TOR,AL,5,10,.333,5.38,25,15,6,0,0,0,107.0,129,73,64,18,22,2,76,6,0,1,469,83,4.79,1.411,10.9,1.5,1.9,6.4,3.45
679,Billy Traber*\trabebi01,27,WSN,NL,2,2,.500,4.76,28,2,5,0,0,0,39.2,50,22,21,4,13,3,27,2,0,0,182,89,4.32,1.588,11.3,0.9,2.9,6.1,2.08
